"dx","TQIP_severity","TQIP_issbr","NIS_severity","NIS_issbr","TQIP_only_severity","TQIP_only_issbr","NIS_only_severity","NIS_only_issbr","TQIP_effect","TQIP_intercept","NIS_effect","NIS_intercept"
"S231",2,"Chest",5,"Chest",2,"Chest",5,"Chest",0.351678957194497,-4.27367040846742,0.825554159761939,-3.90847840866382
"S232",2,"Chest",2,"Chest",2,"Chest",2,"Chest",0.258257588830823,-4.27367040846742,-0.0541578884077685,-3.90847840866382
"S233",1,"Chest",2,"Chest",1,"Chest",2,"Chest",-0.123209776066657,-4.27367040846742,-0.0462589221651727,-3.90847840866382
"S234",1,"Chest",1,"Chest",1,"Chest",1,"Chest",-0.0203197907344336,-4.27367040846742,-1.42192221313765,-3.90847840866382
"S238",1,"Chest",1,"Chest",1,"Chest",1,"Chest",-1.04516696294367,-4.27367040846742,-1.30227581846187,-3.90847840866382
"S239",1,"Chest",1,"Chest",1,"Chest",1,"Chest",0.0146624372948789,-4.27367040846742,-1.23361706027516,-3.90847840866382
"S240",2,"Chest",4,"Chest",2,"Chest",4,"Chest",0.314077387479398,-4.27367040846742,0.689741927497003,-3.90847840866382
"S241",1,"Chest",3,"Chest",1,"Chest",3,"Chest",0.0953941731620698,-4.27367040846742,0.426790192337733,-3.90847840866382
"S242",1,"Chest",1,"Chest",1,"Chest",1,"Chest",-0.802392808371201,-4.27367040846742,-1.98906099866311,-3.90847840866382
"S243",1,"Chest",1,"Chest",1,"Chest",NA,NA,-1.04184854453065,-4.27367040846742,NA,NA
"S244",1,"Chest",1,"Chest",1,"Chest",1,"Chest",-0.957032552441288,-4.27367040846742,-1.89395459539908,-3.90847840866382
"S248",1,"Chest",1,"Chest",1,"Chest",1,"Chest",-4.55917879545624,-4.27367040846742,-1.70759047584379,-3.90847840866382
"S249",1,"Chest",1,"Chest",1,"Chest",1,"Chest",-1.15405401208652,-4.27367040846742,-1.66075493013978,-3.90847840866382
"S250",4,"Chest",4,"Chest",4,"Chest",4,"Chest",1.27721111808046,-4.27367040846742,0.56001152415443,-3.90847840866382
"S251",4,"Chest",5,"Chest",4,"Chest",5,"Chest",0.746135291390658,-4.27367040846742,1.25717612594332,-3.90847840866382
"S252",5,"Chest",5,"Chest",5,"Chest",5,"Chest",2.45559026223514,-4.27367040846742,3.16120507741874,-3.90847840866382
"S253",5,"Chest",4,"Chest",5,"Chest",4,"Chest",1.36077060927324,-4.27367040846742,0.736481281099067,-3.90847840866382
"S254",5,"Chest",5,"Chest",5,"Chest",5,"Chest",1.91248157964854,-4.27367040846742,1.20003684004061,-3.90847840866382
"S255",1,"Chest",5,"Chest",1,"Chest",5,"Chest",0.228060437457714,-4.27367040846742,1.24693218798393,-3.90847840866382
"S258",3,"Chest",3,"Chest",3,"Chest",3,"Chest",0.572341255619745,-4.27367040846742,0.259730156423788,-3.90847840866382
"S259",5,"Chest",5,"Chest",5,"Chest",5,"Chest",1.48182595337621,-4.27367040846742,1.15416386605329,-3.90847840866382
"S260",5,"Chest",5,"Chest",5,"Chest",5,"Chest",2.27905779655035,-4.27367040846742,1.61581082371185,-3.90847840866382
"S261",4,"Chest",3,"Chest",4,"Chest",3,"Chest",0.925697232700955,-4.27367040846742,0.227707311278145,-3.90847840866382
"S262",1,"Chest",1,"Chest",1,"Chest",NA,NA,-1.2523821456198,-4.27367040846742,NA,NA
"S269",5,"Chest",5,"Chest",5,"Chest",5,"Chest",1.33666350145099,-4.27367040846742,0.987491939020782,-3.90847840866382
"S270",1,"Chest",3,"Chest",1,"Chest",3,"Chest",-0.0241348046629606,-4.27367040846742,0.246550686195302,-3.90847840866382
"S271",4,"Chest",4,"Chest",4,"Chest",4,"Chest",1.10852677358354,-4.27367040846742,0.593969380899356,-3.90847840866382
"S272",1,"Chest",3,"Chest",1,"Chest",3,"Chest",0.217695645581088,-4.27367040846742,0.388548657893958,-3.90847840866382
"S273",1,"Chest",2,"Chest",1,"Chest",2,"Chest",0.141796668757901,-4.27367040846742,0.022286134500288,-3.90847840866382
"S274",4,"Chest",5,"Chest",4,"Chest",5,"Chest",1.02265330098157,-4.27367040846742,1.52739293530474,-3.90847840866382
"S275",3,"Chest",5,"Chest",3,"Chest",5,"Chest",0.725456611131848,-4.27367040846742,2.43429716265522,-3.90847840866382
"S276",3,"Chest",4,"Chest",3,"Chest",4,"Chest",0.54937670954586,-4.27367040846742,0.542363402126707,-3.90847840866382
"S278",2,"Chest",3,"Chest",2,"Chest",3,"Chest",0.320800814600957,-4.27367040846742,0.260010436560365,-3.90847840866382
"S279",5,"Chest",4,"Chest",5,"Chest",4,"Chest",2.16728515001236,-4.27367040846742,0.598534264449889,-3.90847840866382
"S280",5,"Chest",3,"Chest",5,"Chest",3,"Chest",3.66320580111094,-4.27367040846742,0.492884215593913,-3.90847840866382
"S281",2,"Chest",2,"Chest",2,"Chest",NA,NA,0.344968232934836,-4.27367040846742,NA,NA
"S282",1,"Chest",1,"Chest",1,"Chest",1,"Chest",-3.25169218011869,-4.27367040846742,-2.36298310523604,-3.90847840866382
"S290",1,"Chest",1,"Chest",1,"Chest",1,"Chest",0.0522872238342334,-4.27367040846742,-0.512655863107232,-3.90847840866382
"S298",1,"Chest",3,"Chest",1,"Chest",3,"Chest",-0.0362196633992089,-4.27367040846742,0.208531002799816,-3.90847840866382
"S299",4,"Chest",2,"Chest",4,"Chest",2,"Chest",1.05037094325459,-4.27367040846742,0.0286324338072533,-3.90847840866382
