dx,severity,issbr
S1093XA,1,General
S1094XA,1,General
S1095XA,1,General
S1096XA,1,General
S1097XA,1,General
S11011A,2,Head/Neck
S11012A,3,Head/Neck
S11013A,2,Head/Neck
S11014A,3,Head/Neck
S11015A,2,Head/Neck
S11019A,2,Head/Neck
S11021A,3,Chest
S11022A,4,Chest
S11023A,3,Chest
S11024A,4,Chest
S11025A,3,Chest
S11029A,3,Chest
S11031A,2,Head/Neck
S11032A,3,Head/Neck
S11033A,2,Head/Neck
S11034A,3,Head/Neck
S11035A,2,Head/Neck
S11039A,2,Head/Neck
S1110XA,2,Head/Neck
S1111XA,2,Head/Neck
S1112XA,2,Head/Neck
S1113XA,2,Head/Neck
S1114XA,2,Head/Neck
S1115XA,2,Head/Neck
S1120XA,2,Head/Neck
S1121XA,2,Head/Neck
S1122XA,4,Head/Neck
S1123XA,2,Head/Neck
S1124XA,4,Head/Neck
S1125XA,2,Head/Neck
S1180XA,1,General
S1181XA,1,General
S1182XA,1,General
S1183XA,1,General
S1184XA,1,General
S1185XA,1,General
S1189XA,1,General
S1190XA,1,General
S1191XA,1,General
S1192XA,1,General
S1193XA,1,General
S1194XA,1,General
S1195XA,1,General
S12000A,2,Head/Neck
S12001A,2,Head/Neck
S1201XA,2,Head/Neck
S1202XA,2,Head/Neck
S12030A,2,Head/Neck
S12031A,2,Head/Neck
S12040A,2,Head/Neck
S12041A,2,Head/Neck
S12090A,2,Head/Neck
S12091A,2,Head/Neck
S12100A,2,Head/Neck
S12101A,2,Head/Neck
S12110A,2,Head/Neck
S12111A,2,Head/Neck
S12112A,2,Head/Neck
S12120A,2,Head/Neck
S12121A,2,Head/Neck
S12130A,2,Head/Neck
S12131A,2,Head/Neck
S1214XA,2,Head/Neck
S12150A,2,Head/Neck
S12151A,2,Head/Neck
S12190A,2,Head/Neck
S12191A,2,Head/Neck
S12200A,2,Head/Neck
S12201A,2,Head/Neck
S12230A,2,Head/Neck
S12231A,2,Head/Neck
S1224XA,2,Head/Neck
S12250A,2,Head/Neck
S12251A,2,Head/Neck
S12290A,2,Head/Neck
S12291A,2,Head/Neck
S12300A,2,Head/Neck
S12301A,2,Head/Neck
S12330A,2,Head/Neck
S12331A,2,Head/Neck
S1234XA,2,Head/Neck
S12350A,2,Head/Neck
S12351A,2,Head/Neck
S12390A,2,Head/Neck
S12391A,2,Head/Neck
S12400A,2,Head/Neck
S12401A,2,Head/Neck
S12430A,2,Head/Neck
S12431A,2,Head/Neck
S1244XA,2,Head/Neck
S12450A,2,Head/Neck
S12451A,2,Head/Neck
S12490A,2,Head/Neck
S12491A,2,Head/Neck
S12500A,2,Head/Neck
S12501A,2,Head/Neck
S12530A,2,Head/Neck
S12531A,2,Head/Neck
S1254XA,2,Head/Neck
S12550A,2,Head/Neck
S12551A,2,Head/Neck
S12590A,2,Head/Neck
S12591A,2,Head/Neck
S12600A,2,Head/Neck
S12601A,2,Head/Neck
S12630A,2,Head/Neck
S12631A,2,Head/Neck
