"dx","TQIP_severity","TQIP_issbr","NIS_severity","NIS_issbr","TQIP_only_severity","TQIP_only_issbr","NIS_only_severity","NIS_only_issbr","TQIP_effect","TQIP_intercept","NIS_effect","NIS_intercept"
"S020XXB",4,"Head/Neck",4,"Head/Neck",4,"Head/Neck",4,"Head/Neck",0.89331164018715,-4.20266881449525,0.757887370226427,-3.86746598419918
"S02101A",1,"Face",4,"Face",1,"Face",4,"Face",0.0825044176147979,-4.20266881449525,0.802843713215916,-3.86746598419918
"S02101B",3,"Face",5,"Face",3,"Face",5,"Face",0.412638503029833,-4.20266881449525,4.27087742270342,-3.86746598419918
"S02102A",1,"Face",1,"Face",1,"Face",1,"Face",0.1411605506537,-4.20266881449525,-0.131141775781531,-3.86746598419918
"S02102B",3,"Face",3,"Face",3,"Face",NA,NA,0.338709258933015,-4.20266881449525,NA,NA
"S02109A",3,"Face",5,"Face",3,"Face",5,"Face",0.342450375652036,-4.20266881449525,1.21672215930898,-3.86746598419918
"S02109B",3,"Face",3,"Face",3,"Face",3,"Face",0.660598466242397,-4.20266881449525,0.398345779545786,-3.86746598419918
"S0210XA",2,"Face",3,"Face",2,"Face",3,"Face",0.310690201018852,-4.20266881449525,0.300656667985952,-3.86746598419918
"S0210XB",5,"Face",5,"Face",5,"Face",5,"Face",1.57635645704441,-4.20266881449525,1.43991370672621,-3.86746598419918
"S02110A",2,"Face",3,"Face",2,"Face",3,"Face",0.193258050702004,-4.20266881449525,0.275291942925043,-3.86746598419918
"S02110B",5,"Face",1,"Face",5,"Face",1,"Face",1.97722176192371,-4.20266881449525,-1.60748497290411,-3.86746598419918
"S02111A",1,"Face",1,"Face",1,"Face",1,"Face",-1.18285233552932,-4.20266881449525,-0.814999172856736,-3.86746598419918
"S02111B",1,"Face",1,"Face",1,"Face",NA,NA,-7.49917853070193,-4.20266881449525,NA,NA
"S02112A",1,"Face",1,"Face",1,"Face",1,"Face",-0.765547557200912,-4.20266881449525,-0.421006501873538,-3.86746598419918
"S02112B",3,"Face",3,"Face",3,"Face",NA,NA,0.418521931353322,-4.20266881449525,NA,NA
"S02113A",1,"Face",2,"Face",1,"Face",2,"Face",-0.130589457414302,-4.20266881449525,-0.0592164421312722,-3.86746598419918
"S02113B",1,"Face",5,"Face",1,"Face",5,"Face",-0.103682581975455,-4.20266881449525,2.54972684999769,-3.86746598419918
"S02118A",2,"Face",4,"Face",2,"Face",4,"Face",0.319698829090723,-4.20266881449525,0.471841952675208,-3.86746598419918
"S02118B",4,"Face",2,"Face",4,"Face",2,"Face",1.1467772783675,-4.20266881449525,-0.0383946651520433,-3.86746598419918
"S02119A",1,"Face",2,"Face",1,"Face",2,"Face",0.0906611701800901,-4.20266881449525,0.0555341040867929,-3.86746598419918
"S02119B",1,"Face",3,"Face",1,"Face",3,"Face",-0.14081269232648,-4.20266881449525,0.256172316956197,-3.86746598419918
"S0211AA",1,"Face",1,"Face",1,"Face",1,"Face",-0.0649656905477257,-4.20266881449525,-0.554377240709438,-3.86746598419918
"S0211AB",1,"Face",1,"Face",1,"Face",NA,NA,-0.961793655768379,-4.20266881449525,NA,NA
