"dx","mechmaj","mechmin","intent"
"X18",3,1,0
"X19",3,1,0
"X20",10,NA,0
"X21",10,NA,0
"X22",10,NA,0
"X23",10,NA,0
"X24",10,NA,0
"X25",10,NA,0
"X26",10,NA,0
"X27",10,NA,0
"X28",10,NA,0
"X29",10,NA,0
"X30",10,NA,0
"X31",10,NA,0
"X32",10,NA,0
"X33",10,NA,0
"X34",10,NA,0
"X35",10,NA,0
"X36",10,NA,0
"X37",10,NA,0
"X38",10,NA,0
"X39",10,NA,0
"X40",12,NA,0
"X41",12,NA,0
"X42",12,NA,0
"X43",12,NA,0
"X44",12,NA,0
"X45",12,NA,0
"X46",12,NA,0
"X47",12,NA,0
"X48",12,NA,0
"X49",12,NA,0
"X50",11,NA,0
"X51",10,NA,0
"X52",10,NA,0
"X53",10,NA,0
"X54",10,NA,0
"X55",10,NA,0
"X56",10,NA,0
"X57",10,NA,0
"X58",16,NA,0
"X59",17,NA,0
"X60",12,NA,1
"X61",12,NA,1
"X62",12,NA,1
"X63",12,NA,1
"X64",12,NA,1
"X65",12,NA,1
"X66",12,NA,1
"X67",12,NA,1
"X68",12,NA,1
"X69",12,NA,1
"X70",14,NA,1
"X71",1,NA,1
"X72",4,NA,1
"X73",4,NA,1
"X74",4,NA,1
"X75",15,NA,1
"X76",3,0,1
"X77",3,1,1
"X78",0,NA,1
"X79",13,NA,1
"X80",2,NA,1
"X81",15,NA,1
"X82",9,NA,1
"X83",16,NA,1
"X84",17,NA,1
"X85",12,NA,2
"X86",12,NA,2
"X87",12,NA,2
"X88",12,NA,2
"X89",12,NA,2
"X90",12,NA,2
"X91",14,NA,2
"X92",1,NA,2
"X93",4,NA,2
"X94",4,NA,2
"X95",4,NA,2
"X96",15,NA,2
"X97",3,0,2
"X98",3,1,2
"X99",0,NA,2
"Y00",13,NA,2
"Y01",2,NA,2
"Y02",15,NA,2
"Y03",9,NA,2
"Y04",13,NA,2
"Y05",15,NA,2
"Y06",15,NA,2
"Y07",15,NA,2
"Y08",16,NA,2
"Y09",17,NA,2
"Y10",12,NA,3
"Y11",12,NA,3
"Y12",12,NA,3
"Y13",12,NA,3
"Y14",12,NA,3
"Y15",12,NA,3
"Y16",12,NA,3
"Y17",12,NA,3
"Y18",12,NA,3
"Y19",12,NA,3
"Y20",14,NA,3
"Y21",1,NA,3
"Y22",4,NA,3
"Y23",4,NA,3
"Y24",4,NA,3
"Y25",15,NA,3
"Y26",3,0,3
"Y27",3,1,3
"Y28",0,NA,3
"Y29",13,NA,3
"Y30",2,NA,3
"Y31",15,NA,3
"Y32",9,NA,3
"Y33",16,NA,3
"Y34",17,NA,3
"Y350",4,NA,4
