"dx","barell","severity","issbr","apc"
"81241","24A",2,5,"D"
"81242","24A",2,5,"D"
"81243","24A",2,5,"D"
"81244","24A",2,5,"D"
"81249","24A",2,5,"D"
"81250","24A",3,5,"C"
"81251","24A",3,5,"C"
"81252","24A",3,5,"C"
"81253","24A",3,5,"C"
"81254","24A",3,5,"C"
"81259","24A",3,5,"C"
"81300","25A",2,5,"D"
"81301","25A",2,5,"D"
"81302","25A",2,5,"D"
"81303","25A",3,5,"C"
"81304","25A",2,5,"D"
"81305","25A",2,5,"D"
"81306","25A",2,5,"D"
"81307","25A",2,5,"D"
"81308","25A",2,5,"D"
"81310","25A",3,5,"C"
"81311","25A",3,5,"C"
"81312","25A",3,5,"C"
"81313","25A",3,5,"C"
"81314","25A",3,5,"C"
"81315","25A",3,5,"C"
"81316","25A",3,5,"C"
"81317","25A",3,5,"C"
"81318","25A",3,5,"C"
"81320","25A",2,5,"D"
"81321","25A",2,5,"D"
"81322","25A",2,5,"D"
"81323","25A",2,5,"D"
"81330","25A",3,5,"C"
"81331","25A",3,5,"C"
"81332","25A",3,5,"C"
"81333","25A",3,5,"C"
"81340","25A",2,5,"D"
"81341","25A",2,5,"D"
"81342","25A",2,5,"D"
"81343","25A",2,5,"D"
"81344","25A",2,5,"D"
"81345","25A",2,5,"D"
"81346","25A",2,5,"D"
"81347","25A",2,5,"D"
"81350","25A",3,5,"C"
"81351","25A",3,5,"C"
"81352","25A",3,5,"C"
"81353","25A",3,5,"C"
"81354","25A",3,5,"C"
"81380","25A",2,5,"D"
"81381","25A",2,5,"D"
"81382","25A",2,5,"D"
"81383","25A",2,5,"D"
"81390","25A",2,5,"D"
"81391","25A",3,5,"C"
"81392","25A",3,5,"C"
"81393","25A",3,5,"C"
"81400","26A",2,5,"D"
"81401","26A",2,5,"D"
"81402","26A",2,5,"D"
"81403","26A",2,5,"D"
"81404","26A",2,5,"D"
"81405","26A",2,5,"D"
"81406","26A",2,5,"D"
"81407","26A",2,5,"D"
"81408","26A",2,5,"D"
"81409","26A",2,5,"D"
"81410","26A",2,5,"D"
"81411","26A",2,5,"D"
"81412","26A",2,5,"D"
"81413","26A",2,5,"D"
"81414","26A",2,5,"D"
"81415","26A",2,5,"D"
"81416","26A",2,5,"D"
"81417","26A",2,5,"D"
"81418","26A",2,5,"D"
"81419","26A",2,5,"D"
"81500","26A",2,5,"D"
"81501","26A",2,5,"D"
"81502","26A",2,5,"D"
"81503","26A",2,5,"D"
"81504","26A",2,5,"D"
"81509","26A",2,5,"D"
"81510","26A",2,5,"D"
"81511","26A",2,5,"D"
"81512","26A",2,5,"D"
"81513","26A",2,5,"D"
"81514","26A",2,5,"D"
"81519","26A",2,5,"D"
"81600","26A",1,5,"D"
"81601","26A",1,5,"D"
"81602","26A",1,5,"D"
"81603","26A",1,5,"D"
"81610","26A",1,5,"D"
"81611","26A",1,5,"D"
"81612","26A",1,5,"D"
"81613","26A",1,5,"D"
"8170","26A",2,5,"D"
"8171","26A",2,5,"D"
"8180","27A",2,5,"D"
"8181","27A",2,5,"D"
"8190","34A",3,3,"C"
"8191","34A",2,5,"D"
"82000","28A",3,5,"C"
"82001","28A",3,5,"C"
"82002","28A",3,5,"C"
"82003","28A",3,5,"C"
"82009","28A",3,5,"C"
"82010","28A",3,5,"C"
"82011","28A",3,5,"C"
"82012","28A",3,5,"C"
"82013","28A",3,5,"C"
"82019","28A",3,5,"C"
"82020","28A",3,5,"C"
"82021","28A",3,5,"C"
"82022","28A",3,5,"C"
"82030","28A",3,5,"C"
"82031","28A",3,5,"C"
"82032","28A",3,5,"C"
"8208","28A",3,5,"C"
"8209","28A",3,5,"C"
"82100","29A",3,5,"C"
"82101","29A",3,5,"C"
"82110","29A",3,5,"C"
"82111","29A",3,5,"C"
"82120","29A",3,5,"C"
"82121","29A",3,5,"C"
"82122","29A",3,5,"C"
"82123","29A",3,5,"C"
"82129","29A",3,5,"C"
"82130","29A",3,5,"C"
"82131","29A",3,5,"C"
"82132","29A",3,5,"C"
"82133","29A",3,5,"C"
"82139","29A",3,5,"C"
"8220","30A",2,5,"D"
"8221","30A",2,5,"D"
"82300","31A",2,5,"D"
"82301","31A",2,5,"D"
"82302","31A",2,5,"D"
"82310","31A",3,5,"C"
"82311","31A",2,5,"D"
"82312","31A",3,5,"C"
"82320","31A",2,5,"D"
"82321","31A",2,5,"D"
"82322","31A",2,5,"D"
"82330","31A",3,5,"C"
"82331","31A",2,5,"D"
"82332","31A",3,5,"C"
"82340","31A",2,5,"D"
"82341","31A",2,5,"D"
"82342","31A",2,5,"D"
"82380","31A",2,5,"D"
"82381","31A",2,5,"D"
"82382","31A",2,5,"D"
"82390","31A",2,5,"D"
"82391","31A",2,5,"D"
"82392","31A",2,5,"D"
"8240","31A",2,5,"D"
"8241","31A",2,5,"D"
"8242","31A",2,5,"D"
"8243","31A",2,5,"D"
"8244","31A",2,5,"D"
"8245","31A",3,5,"C"
"8246","31A",2,5,"D"
"8247","31A",2,5,"D"
"8248","31A",2,5,"D"
"8249","31A",3,5,"C"
"8250","32A",2,5,"D"
"8251","32A",2,5,"D"
"82520","32A",2,5,"D"
"82521","32A",2,5,"D"
"82522","32A",2,5,"D"
"82523","32A",2,5,"D"
"82524","32A",2,5,"D"
"82525","32A",2,5,"D"
"82529","32A",2,5,"D"
"82530","32A",2,5,"D"
"82531","32A",2,5,"D"
"82532","32A",2,5,"D"
"82533","32A",2,5,"D"
"82534","32A",2,5,"D"
"82535","32A",2,5,"D"
"82539","32A",2,5,"D"
"8260","32A",1,5,"D"
"8261","32A",1,5,"D"
"8270","33A",2,5,"D"
"8271","33A",2,5,"D"
"8280","34A",2,5,"D"
"8281","34A",2,5,"D"
"8290","35A",2,5,"D"
"8291","35A",2,5,"D"
"8300","05B",2,2,"D"
"8301","05B",2,2,"D"
"83100","24B",2,5,"D"
"83101","24B",2,5,"D"
"83102","24B",2,5,"D"
"83103","24B",2,5,"D"
"83104","24B",2,5,"D"
"83109","24B",2,5,"D"
"83110","24B",2,5,"D"
"83111","24B",2,5,"D"
"83112","24B",2,5,"D"
"83113","24B",2,5,"D"
"83114","24B",2,5,"D"
"83119","24B",2,5,"D"
"83200","25B",1,5,"D"
"83201","25B",1,5,"D"
"83202","25B",1,5,"D"
"83203","25B",1,5,"D"
"83204","25B",1,5,"D"
"83209","25B",1,5,"D"
"83210","25B",1,5,"D"
"83211","25B",1,5,"D"
"83212","25B",1,5,"D"
"83213","25B",1,5,"D"
"83214","25B",1,5,"D"
"83219","25B",1,5,"D"
"8322","25B",1,5,"D"
"83300","26B",2,5,"D"
"83301","26B",2,5,"D"
"83302","26B",2,5,"D"
"83303","26B",2,5,"D"
"83304","26B",1,5,"D"
"83305","26B",1,5,"D"
"83309","26B",2,5,"D"
"83310","26B",2,5,"D"
"83311","26B",2,5,"D"
"83312","26B",2,5,"D"
"83313","26B",2,5,"D"
"83314","26B",1,5,"D"
"83315","26B",2,5,"D"
"83319","26B",2,5,"D"
"83400","26B",1,5,"D"
"83401","26B",1,5,"D"
"83402","26B",1,5,"D"
"83410","26B",1,5,"D"
"83411","26B",1,5,"D"
"83412","26B",1,5,"D"
"83500","28B",2,5,"D"
"83501","28B",2,5,"D"
"83502","28B",2,5,"D"
"83503","28B",2,5,"D"
"83510","28B",2,5,"D"
"83511","28B",2,5,"D"
"83512","28B",2,5,"D"
"83513","28B",2,5,"D"
"8360","30B",2,5,"D"
"8361","30B",2,5,"D"
"8362","30B",2,5,"D"
"8363","30B",2,5,"D"
"8364","30B",2,5,"D"
"83650","30B",2,5,"D"
"83651","30B",2,5,"D"
"83652","30B",2,5,"D"
"83653","30B",2,5,"D"
"83654","30B",2,5,"D"
"83659","30B",2,5,"D"
"83660","30B",2,5,"D"
"83661","30B",2,5,"D"
"83662","30B",2,5,"D"
"83663","30B",2,5,"D"
"83664","30B",2,5,"D"
"83669","30B",2,5,"D"
"8370","31B",2,5,"D"
"8371","31B",2,5,"D"
"83800","32B",1,5,"D"
"83801","32B",1,5,"D"
"83802","32B",1,5,"D"
"83803","32B",1,5,"D"
"83804","32B",1,5,"D"
"83805","32B",1,5,"D"
"83806","32B",1,5,"D"
"83809","32B",1,5,"D"
"83810","32B",1,5,"D"
"83811","32B",1,5,"D"
"83812","32B",1,5,"D"
"83813","32B",1,5,"D"
"83814","32B",1,5,"D"
"83815","32B",1,5,"D"
"83816","32B",1,5,"D"
"83819","32B",1,5,"D"
"83900","14B",2,1,"D"
"83901","14B",2,1,"D"
"83902","14B",2,1,"D"
"83903","14B",2,1,"D"
"83904","14B",2,1,"D"
"83905","14B",2,1,"D"
"83906","14B",2,1,"D"
"83907","14B",2,1,"D"
"83908","14B",2,1,"D"
"83910","14B",2,1,"D"
"83911","14B",2,1,"D"
"83912","14B",2,1,"D"
"83913","14B",5,1,"C"
"83914","14B",5,1,"C"
"83915","14B",2,1,"D"
"83916","14B",4,1,"C"
"83917","14B",3,1,"C"
"83918","14B",2,1,"D"
"83920","16B",2,4,"D"
"83921","15B",2,3,"D"
"83930","16B",2,4,"D"
"83931","15B",2,3,"D"
"83940","18B",2,3,"D"
"83941","17B",2,5,"D"
"83942","17B",3,5,"C"
"83949","18B",3,3,"C"
"83950","18B",2,5,"D"
"83951","17B",2,5,"D"
"83952","17B",3,5,"C"
"83959","18B",3,3,"C"
"83961","19B",2,3,"D"
"83969","21B",3,5,"C"
"83971","19B",2,3,"D"
"83979","21B",3,5,"C"
"8398","35B",1,5,"D"
"8399","35B",2,5,"D"
"8400","24C",1,5,"D"
"8401","24C",1,5,"D"
"8402","24C",2,5,"D"
"8403","24C",1,5,"D"
"8404","24C",1,5,"D"
"8405","24C",1,5,"D"
"8406","24C",1,5,"D"
"8407","24C",2,5,"D"
"8408","24C",1,5,"D"
"8409","24C",1,5,"D"
"8410","25C",1,5,"D"
"8411","25C",1,5,"D"
"8412","25C",2,5,"D"
"8413","25C",1,5,"D"
"8418","25C",1,5,"D"
"8419","25C",1,5,"D"
"84200","26C",1,5,"D"
"84201","26C",1,5,"D"
"84202","26C",1,5,"D"
"84209","26C",1,5,"D"
"84210","26C",1,5,"D"
"84211","26C",1,5,"D"
"84212","26C",1,5,"D"
"84213","26C",1,5,"D"
"84219","26C",1,5,"D"
"8430","28C",1,5,"D"
"8431","28C",1,5,"D"
"8438","28C",2,5,"D"
"8439","28C",1,5,"D"
"8440","30C",2,5,"D"
"8441","30C",2,5,"D"
"8442","30C",2,5,"D"
"8443","30C",2,5,"D"
"8448","33C",2,5,"D"
"8449","33C",2,5,"D"
"84500","31C",1,5,"D"
"84501","31C",1,5,"D"
"84502","31C",1,5,"D"
"84503","31C",1,5,"D"
"84509","31C",2,5,"D"
"84510","32C",1,5,"D"
"84511","32C",1,5,"D"
"84512","32C",1,5,"D"
"84513","32C",1,5,"D"
"84519","32C",2,5,"D"
"8460","21C",1,5,"D"
"8461","21C",1,5,"D"
"8462","21C",1,5,"D"
"8463","21C",1,5,"D"
"8468","21C",1,5,"D"
"8469","21C",1,5,"D"
"8470","14C",1,1,"D"
"8471","15C",1,3,"D"
"8472","16C",1,4,"D"
"8473","17C",1,5,"D"
"8474","17C",1,5,"D"
"8479","23C",1,3,"D"
"8480","05C",1,2,"D"
"8481","05C",1,2,"D"
"8482","07C",1,1,"D"
"8483","19C",1,3,"D"
"84840","19C",1,3,"D"
"84841","19C",1,3,"D"
"84842","19C",1,3,"D"
"84849","19C",1,3,"D"
"8485","21C",1,5,"D"
"8488","35C",1,5,"D"
"8489","35C",1,5,"D"
"8500","02D",2,1,"D"
"8501","02D",2,1,"D"
"85011","02D",1,1,"D"
"85012","02D",1,1,"D"
"8502","01D",2,1,"D"
"8503","01D",2,1,"D"
"8504","01D",5,1,"A"
"8505","02D",2,1,"D"
"8509","02D",2,1,"D"
"85100","01D",3,1,"A"
"85101","01D",3,1,"A"
"85102","01D",3,1,"A"
"85103","01D",3,1,"A"
"85104","01D",3,1,"A"
"85105","01D",3,1,"A"
"85106","01D",3,1,"A"
"85109","01D",3,1,"A"
"85110","01D",3,1,"A"
"85111","01D",3,1,"A"
"85112","01D",3,1,"A"
"85113","01D",3,1,"A"
"85114","01D",3,1,"A"
"85115","01D",3,1,"A"
"85116","01D",3,1,"A"
"85119","01D",3,1,"A"
"85120","01D",4,1,"A"
"85121","01D",4,1,"A"
"85122","01D",4,1,"A"
"85123","01D",4,1,"A"
"85124","01D",4,1,"A"
"85125","01D",4,1,"A"
"85126","01D",4,1,"A"
"85129","01D",4,1,"A"
"85130","01D",5,1,"A"
"85131","01D",5,1,"A"
"85132","01D",4,1,"A"
"85133","01D",5,1,"A"
"85134","01D",5,1,"A"
"85135","01D",5,1,"A"
"85136","01D",5,1,"A"
"85139","01D",5,1,"A"
