"dx","severity","issbr"
"S29011",1,"Chest"
"S29012",1,"Chest"
"S29019",1,"Chest"
"S29021",3,"Chest"
"S29022",1,"Chest"
"S29029",2,"Chest"
"S29091",1,"Chest"
"S29092",1,"Chest"
"S29099",3,"Chest"
"S298",3,"Chest"
"S299",3,"Chest"
"S300",1,"Extremities"
"S301",2,"Abdomen"
"S30201",1,"Abdomen"
"S30202",1,"Abdomen"
"S3021",1,"Abdomen"
"S3022",1,"Abdomen"
"S3023",2,"Abdomen"
"S303",1,"Abdomen"
"S30810",2,"Extremities"
"S30811",1,"Abdomen"
"S30812",1,"Abdomen"
"S30813",2,"Abdomen"
"S30816",1,"Abdomen"
"S30817",1,"Abdomen"
"S30820",1,"Extremities"
"S30841",3,"Abdomen"
"S30850",1,"Extremities"
"S30851",1,"Abdomen"
"S30857",1,"Abdomen"
"S30870",1,"Extremities"
"S30871",1,"Abdomen"
"S3091",1,"Extremities"
"S3092",2,"Abdomen"
"S3094",5,"Abdomen"
"S31000",2,"Extremities"
