dx,icd_10,issbr,hmp,hma,sev,icdn
S08.111A,S08.111,Face,0,0,1,1
S08.112A,S08.112,Face,0,0,1,1
S08.119A,S08.119,Face,0,0,1,4
S08.121A,S08.121,Face,0,0,1,6
S08.122A,S08.122,Face,0,0,1,2
S08.129A,S08.129,Face,0,0,1,1
S08.811A,S08.811,Face,0,0.333333343,3,3
S08.812A,S08.812,Face,0,0,1,1
S09.0XXA,S09.0,Head/Neck,0.200000003,0.196078435,4,51
S09.10XA,S09.10,Head/Neck,0.033333335,0.06122449,2,49
S09.11XA,S09.11,Head/Neck,0,0,1,19
S09.12XA,S09.12,Head/Neck,0,0.159999996,2,25
S09.19XA,S09.19,Head/Neck,0,0.200000003,2,5
S09.20XA,S09.20,Face,0,0.0625,1,16
S09.21XA,S09.21,Face,0,0.043478262,1,23
S09.22XA,S09.22,Face,0,0,1,22
S09.301A,S09.301,Face,0,0,1,4
S09.302A,S09.302,Face,0,0,1,4
S09.309A,S09.309,Face,0,0,1,2
S09.391A,S09.391,Face,0,0,1,4
S09.392A,S09.392,Face,0,0.400000006,3,5
S09.399A,S09.399,Face,0,0,1,2
S09.8XXA,S09.8,Head/Neck,0.030864198,0.047872342,2,376
S09.90XA,S09.90,Head/Neck,0.036344755,0.047276001,2,2221
S09.91XA,S09.91,Face,0,0.021739131,1,46
S09.92XA,S09.92,Face,0.333333343,0.068965517,5,29
S09.93XA,S09.93,Face,0.061538462,0.083481349,3,563
S10.0XXA,S10.0,Head/Neck,0.1875,0.146341458,4,41
S10.10XA,S10.10,Head/Neck,0,0,1,1
S10.11XA,S10.11,Head/Neck,0.25,0.263157904,5,19
S10.80XA,S10.80,Head/Neck,0.333333343,0.200000003,5,5
S10.81XA,S10.81,Head/Neck,0.030303031,0.092715234,2,151
S10.83XA,S10.83,Head/Neck,0.060606062,0.129213482,3,178
S10.85XA,S10.85,Head/Neck,0,0,1,2
S10.86XA,S10.86,Head/Neck,0,0,1,1
S10.87XA,S10.87,Head/Neck,0,0,1,2
S10.90XA,S10.90,Head/Neck,0,0.25,2,8
S10.91XA,S10.91,Head/Neck,0.020833334,0.094339624,2,159
S10.93XA,S10.93,Head/Neck,0.044444446,0.077586204,2,116
S10.94XA,S10.94,Head/Neck,0,1,5,1
S11.011A,S11.011,Head/Neck,0,0.166666672,2,12
S11.012A,S11.012,Head/Neck,0,0,1,1
S11.013A,S11.013,Head/Neck,0,0,1,5
S11.019A,S11.019,Head/Neck,0,0.75,4,4
S11.021A,S11.021,Head/Neck,0.071428575,0.208333328,3,24
S11.022A,S11.022,Head/Neck,1,0.25,5,4
S11.023A,S11.023,Head/Neck,0,0.333333343,3,3
S11.024A,S11.024,Head/Neck,0,0,1,1
S11.029A,S11.029,Head/Neck,0.333333343,0.25,5,4
S11.033A,S11.033,Head/Neck,0,0,1,1
S11.10XA,S11.10,Head/Neck,0,0,1,1
S11.11XA,S11.11,Head/Neck,0,0.300000012,3,10
S11.14XA,S11.14,Head/Neck,0,0,1,1
S11.20XA,S11.20,Head/Neck,0,0.222222224,2,9
S11.21XA,S11.21,Head/Neck,0.25,0.100000001,5,20
S11.22XA,S11.22,Head/Neck,0,0.25,2,16
S11.23XA,S11.23,Head/Neck,0,0,1,7
S11.24XA,S11.24,Head/Neck,0,0,1,4
S11.80XA,S11.80,Head/Neck,0.055555556,0.033333335,2,30
