i10,severity,issbr
S1011XA,1,6.0
S1012XA,1,6.0
S1014XA,1,6.0
S1015XA,1,6.0
S1016XA,1,6.0
S1017XA,1,6.0
S1080XA,1,6.0
S1081XA,1,6.0
S1082XA,1,6.0
S1083XA,1,6.0
S1084XA,1,6.0
S1085XA,1,6.0
S1086XA,1,6.0
S1087XA,1,6.0
S1090XA,1,6.0
S1091XA,1,6.0
S1092XA,1,6.0
S1093XA,1,6.0
S1094XA,1,6.0
S1095XA,1,6.0
S1096XA,1,6.0
S1097XA,1,6.0
S11011A,2,1.0
S11012A,3,1.0
S11013A,2,1.0
S11014A,3,1.0
S11015A,2,1.0
S11019A,2,1.0
S11021A,3,3.0
S11022A,4,3.0
S11023A,3,3.0
S11024A,4,3.0
S11025A,3,3.0
S11029A,3,3.0
S11031A,2,1.0
S11032A,3,1.0
S11033A,2,1.0
S11034A,3,1.0
S11035A,2,1.0
S11039A,2,1.0
S1110XA,2,1.0
S1111XA,2,1.0
S1112XA,2,1.0
S1113XA,2,1.0
S1114XA,2,1.0
S1115XA,2,1.0
S1120XA,2,1.0
S1121XA,2,1.0
S1122XA,4,1.0
S1123XA,2,1.0
S1124XA,4,1.0
S1125XA,2,1.0
S1180XA,1,6.0
S1181XA,1,6.0
S1182XA,1,6.0
S1183XA,1,6.0
S1184XA,1,6.0
S1185XA,1,6.0
S1189XA,1,6.0
S1190XA,1,6.0
S1191XA,1,6.0
S1192XA,1,6.0
S1193XA,1,6.0
S1194XA,1,6.0
S1195XA,1,6.0
S12000A,2,1.0
S12000B,2,1.0
S12001A,2,1.0
S12001B,2,1.0
S1201XA,2,1.0
S1201XB,2,1.0
S1202XA,2,1.0
S1202XB,2,1.0
S12030A,2,1.0
S12030B,2,1.0
S12031A,2,1.0
S12031B,2,1.0
S12040A,2,1.0
S12040B,2,1.0
S12041A,2,1.0
S12041B,2,1.0
S12090A,2,1.0
S12090B,2,1.0
S12091A,2,1.0
S12091B,2,1.0
S12100A,2,1.0
S12100B,2,1.0
S12101A,2,1.0
S12101B,2,1.0
S12110A,2,1.0
S12110B,2,1.0
S12111A,2,1.0
S12111B,2,1.0
S12112A,2,1.0
S12112B,2,1.0
S12120A,2,1.0
S12120B,2,1.0
S12121A,2,1.0
S12121B,2,1.0
S12130A,2,1.0
S12130B,2,1.0
S12131A,2,1.0
S12131B,2,1.0
S1214XA,2,1.0
S1214XB,2,1.0
S12150A,2,1.0
S12150B,2,1.0
S12151A,2,1.0
S12151B,2,1.0
S12190A,2,1.0
S12190B,2,1.0
S12191A,2,1.0
S12191B,2,1.0
S12200A,2,1.0
S12200B,2,1.0
S12201A,2,1.0
S12201B,2,1.0
S12230A,2,1.0
S12230B,2,1.0
S12231A,2,1.0
S12231B,2,1.0
S1224XA,2,1.0
S1224XB,2,1.0
S12250A,2,1.0
S12250B,2,1.0
S12251A,2,1.0
S12251B,2,1.0
S12290A,2,1.0
S12290B,2,1.0
S12291A,2,1.0
S12291B,2,1.0
S12300A,2,1.0
S12300B,2,1.0
S12301A,2,1.0
S12301B,2,1.0
S12330A,2,1.0
S12330B,2,1.0
S12331A,2,1.0
S12331B,2,1.0
S1234XA,2,1.0
S1234XB,2,1.0
S12350A,2,1.0
S12350B,2,1.0
S12351A,2,1.0
S12351B,2,1.0
S12390A,2,1.0
S12390B,2,1.0
S12391A,2,1.0
S12391B,2,1.0
S12400A,2,1.0
S12400B,2,1.0
S12401A,2,1.0
S12401B,2,1.0
S12430A,2,1.0
S12430B,2,1.0
S12431A,2,1.0
S12431B,2,1.0
S1244XA,2,1.0
S1244XB,2,1.0
S12450A,2,1.0
S12450B,2,1.0
S12451A,2,1.0
S12451B,2,1.0
S12490A,2,1.0
S12490B,2,1.0
S12491A,2,1.0
S12491B,2,1.0
S12500A,2,1.0
S12500B,2,1.0
S12501A,2,1.0
S12501B,2,1.0
S12530A,2,1.0
S12530B,2,1.0
S12531A,2,1.0
S12531B,2,1.0
S1254XA,2,1.0
S1254XB,2,1.0
S12550A,2,1.0
S12550B,2,1.0
S12551A,2,1.0
S12551B,2,1.0
S12590A,2,1.0
S12590B,2,1.0
S12591A,2,1.0
S12591B,2,1.0
S12600A,2,1.0
S12600B,2,1.0
S12601A,2,1.0
S12601B,2,1.0
S12630A,2,1.0
S12630B,2,1.0
S12631A,2,1.0
S12631B,2,1.0
S1264XA,2,1.0
S1264XB,2,1.0
S12650A,2,1.0
S12650B,2,1.0
S12651A,2,1.0
S12651B,2,1.0
S12690A,2,1.0
S12690B,2,1.0
S12691A,2,1.0
S12691B,2,1.0
S128XXA,2,1.0
S129XXA,2,1.0
S130XXA,2,1.0
S13100A,2,1.0
S13101A,2,1.0
S13110A,2,1.0
S13111A,2,1.0
S13120A,2,1.0
S13121A,2,1.0
S13130A,2,1.0
S13131A,2,1.0
S13140A,2,1.0
S13141A,2,1.0
S13150A,2,1.0
S13151A,2,1.0
S13160A,2,1.0
S13161A,2,1.0
S13170A,2,1.0
S13171A,2,1.0
S13180A,2,1.0
S13181A,2,1.0
S1320XA,2,1.0
S1329XA,2,1.0
S134XXA,1,1.0
S135XXA,1,1.0
S138XXA,1,1.0
S139XXA,1,3.0
S140XXA,4,1.0
S14101A,3,1.0
S14102A,3,1.0
S14103A,3,1.0
S14104A,3,1.0
S14105A,3,1.0
S14106A,3,1.0
S14107A,3,1.0
S14108A,3,1.0
S14109A,3,4.0
S14111A,6,1.0
S14112A,6,1.0
S14113A,6,1.0
S14114A,6,1.0
S14115A,5,1.0
S14116A,5,1.0
S14117A,5,1.0
S14118A,5,1.0
S14119A,3,4.0
S14121A,4,1.0
S14122A,4,1.0
S14123A,4,1.0
S14124A,4,1.0
S14125A,4,1.0
S14126A,4,1.0
S14127A,4,1.0
S14128A,4,1.0
S14129A,3,4.0
S14131A,4,1.0
S14132A,4,1.0
S14133A,4,1.0
S14134A,4,1.0
S14135A,4,1.0
S14136A,4,1.0
S14137A,4,1.0
S14138A,4,1.0
S14139A,3,4.0
S14141A,4,1.0
S14142A,4,1.0
S14143A,4,1.0
S14144A,4,1.0
S14145A,4,1.0
S14146A,4,1.0
S14147A,4,1.0
S14148A,4,1.0
S14149A,3,4.0
S14151A,4,1.0
S14152A,4,1.0
S14153A,4,1.0
S14154A,4,1.0
S14155A,4,1.0
S14156A,4,1.0
S14157A,4,1.0
S14158A,4,1.0
S14159A,3,4.0
S142XXA,2,1.0
S143XXA,2,1.0
S144XXA,2,1.0
S145XXA,2,1.0
S148XXA,2,1.0
S149XXA,2,1.0
S149XXA,1,1.0
S15001A,3,1.0
S15001A,2,1.0
S15002A,3,1.0
S15002A,2,1.0
S15009A,3,1.0
S15011A,3,1.0
S15011A,2,1.0
S15012A,3,1.0
S15012A,2,1.0
S15019A,3,1.0
S15019A,2,1.0
S15021A,3,1.0
S15021A,2,1.0
S15022A,3,1.0
S15022A,2,1.0
S15029A,3,1.0
S15029A,2,1.0
S15091A,3,1.0
S15091A,2,1.0
S15092A,3,1.0
S15092A,2,1.0
S15099A,3,1.0
S15099A,2,1.0
S15101A,3,1.0
S15102A,3,1.0
S15109A,3,1.0
S15111A,3,1.0
S15112A,3,1.0
S15119A,3,1.0
S15121A,3,1.0
S15122A,3,1.0
S15129A,3,1.0
S15191A,3,1.0
S15192A,3,1.0
S15199A,3,1.0
S15201A,1,1.0
S15202A,1,1.0
S15209A,1,1.0
S15211A,1,1.0
S15212A,1,1.0
S15219A,1,1.0
S15221A,1,1.0
S15222A,1,1.0
S15229A,1,1.0
S15291A,1,1.0
S15292A,1,1.0
S15299A,1,1.0
S15301A,3,1.0
S15302A,3,1.0
S15309A,3,1.0
S15311A,3,1.0
S15312A,3,1.0
S15319A,3,1.0
S15321A,3,1.0
S15322A,3,1.0
S15329A,3,1.0
S15391A,3,1.0
S15392A,3,1.0
S15399A,3,1.0
S158XXA,3,1.0
S159XXA,4,1.0
S161XXA,1,1.0
S162XXA,1,6.0
S168XXA,1,2.0
S169XXA,1,2.0
