icdcm,TQIPbr,TQIPeffect,TQIPint,TQIPn,TQIPais,NISbr,NISeffect,NISint,NISn,NISais,TQIPais_mod,NISais_mod,TQIPbr_mod,NISbr_mod
S62.312B,Extremities,0.010005226,-4.202668814,58,1,Extremities,-0.267743836,-3.867465984,12,1,1,1,Extremities,Extremities
S62.313A,Extremities,-0.087124991,-4.202668814,252,1,Extremities,-0.544049547,-3.867465984,40,1,1,1,Extremities,Extremities
S62.313B,Extremities,0.258131739,-4.202668814,97,2,Extremities,-0.247155974,-3.867465984,8,1,2,1,Extremities,Extremities
S62.314A,Extremities,-0.184021384,-4.202668814,335,1,Extremities,0.06368936,-3.867465984,44,2,1,2,Extremities,Extremities
S62.314B,Extremities,-0.808212997,-4.202668814,75,1,Extremities,-0.312252,-3.867465984,10,1,1,1,Extremities,Extremities
S62.315A,Extremities,-0.140777444,-4.202668814,352,1,Extremities,-0.464821478,-3.867465984,61,1,1,1,Extremities,Extremities
S62.315B,Extremities,-0.613045242,-4.202668814,113,1,Extremities,-0.458401725,-3.867465984,14,1,1,1,Extremities,Extremities
S62.316A,Extremities,-0.204012023,-4.202668814,545,1,Extremities,-0.119947019,-3.867465984,111,1,1,1,Extremities,Extremities
S62.316B,Extremities,-0.472565589,-4.202668814,82,1,Extremities,1.003000973,-3.867465984,15,5,1,5,Extremities,Extremities
S62.317A,Extremities,-0.447615391,-4.202668814,543,1,Extremities,-0.28338972,-3.867465984,117,1,1,1,Extremities,Extremities
S62.317B,Extremities,-0.579683626,-4.202668814,109,1,Extremities,0.70295086,-3.867465984,19,4,1,4,Extremities,Extremities
S62.318A,Extremities,-0.042088913,-4.202668814,151,1,Extremities,-0.570531263,-3.867465984,4,1,1,1,Extremities,Extremities
S62.318B,Extremities,-0.737769748,-4.202668814,26,1,Extremities,-0.416597565,-3.867465984,1,1,1,1,Extremities,Extremities
S62.319A,Extremities,-0.285792056,-4.202668814,85,1,Extremities,0.154592429,-3.867465984,5,3,1,3,Extremities,Extremities
S62.319B,Extremities,-1.477316328,-4.202668814,28,1,Extremities,-0.434245129,-3.867465984,2,1,1,1,Extremities,Extremities
S62.320A,Extremities,-0.067169211,-4.202668814,134,1,Extremities,-0.502069793,-3.867465984,14,1,1,1,Extremities,Extremities
S62.320B,Extremities,-0.349461257,-4.202668814,112,1,Extremities,-0.511647046,-3.867465984,21,1,1,1,Extremities,Extremities
S62.321A,Extremities,-0.451874793,-4.202668814,199,1,Extremities,-0.376443884,-3.867465984,23,1,1,1,Extremities,Extremities
S62.321B,Extremities,-0.495908597,-4.202668814,139,1,Extremities,-0.646369531,-3.867465984,17,1,1,1,Extremities,Extremities
S62.322A,Extremities,-0.297435456,-4.202668814,172,1,Extremities,-0.57062538,-3.867465984,28,1,1,1,Extremities,Extremities
S62.322B,Extremities,-0.262437523,-4.202668814,101,1,Extremities,-0.331665096,-3.867465984,13,1,1,1,Extremities,Extremities
S62.323A,Extremities,-0.427942836,-4.202668814,244,1,Extremities,0.136133261,-3.867465984,37,3,1,3,Extremities,Extremities
S62.323B,Extremities,-0.365901766,-4.202668814,153,1,Extremities,-0.432722796,-3.867465984,26,1,1,1,Extremities,Extremities
S62.324A,Extremities,-0.154423951,-4.202668814,285,1,Extremities,-0.487799003,-3.867465984,54,1,1,1,Extremities,Extremities
S62.324B,Extremities,-0.880753991,-4.202668814,93,1,Extremities,-0.320731848,-3.867465984,15,1,1,1,Extremities,Extremities
S62.325A,Extremities,-0.193514205,-4.202668814,286,1,Extremities,-0.699536828,-3.867465984,61,1,1,1,Extremities,Extremities
S62.325B,Extremities,-0.815123676,-4.202668814,140,1,Extremities,-0.494599452,-3.867465984,24,1,1,1,Extremities,Extremities
S62.326A,Extremities,0.027436432,-4.202668814,331,1,Extremities,-0.536585468,-3.867465984,81,1,1,1,Extremities,Extremities
S62.326B,Extremities,-0.953977978,-4.202668814,97,1,Extremities,-0.38784735,-3.867465984,15,1,1,1,Extremities,Extremities
S62.327A,Extremities,-0.233531766,-4.202668814,372,1,Extremities,-0.669810659,-3.867465984,69,1,1,1,Extremities,Extremities
S62.327B,Extremities,-0.443956481,-4.202668814,129,1,Extremities,-0.456699541,-3.867465984,26,1,1,1,Extremities,Extremities
S62.328A,Extremities,-0.250572947,-4.202668814,257,1,Extremities,-0.592411122,-3.867465984,6,1,1,1,Extremities,Extremities
S62.328B,Extremities,-0.356636404,-4.202668814,94,1,Extremities,-0.220370844,-3.867465984,2,1,1,1,Extremities,Extremities
S62.329A,Extremities,-0.754444864,-4.202668814,69,1,Extremities,-0.547054003,-3.867465984,1,1,1,1,Extremities,Extremities
S62.329B,Extremities,-0.490820065,-4.202668814,36,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S62.330A,Extremities,0.065150858,-4.202668814,102,1,Extremities,0.567740106,-3.867465984,24,4,1,4,Extremities,Extremities
S62.330B,Extremities,-0.192823873,-4.202668814,45,1,Extremities,-0.427622485,-3.867465984,13,1,1,1,Extremities,Extremities
S62.331A,Extremities,-1.046494003,-4.202668814,125,1,Extremities,-0.722087678,-3.867465984,27,1,1,1,Extremities,Extremities
S62.331B,Extremities,-1.003711627,-4.202668814,72,1,Extremities,-0.587309648,-3.867465984,16,1,1,1,Extremities,Extremities
S62.332A,Extremities,-0.311448843,-4.202668814,50,1,Extremities,-0.703764817,-3.867465984,14,1,1,1,Extremities,Extremities
S62.332B,Extremities,-0.274758713,-4.202668814,42,1,Extremities,-1.758213524,-3.867465984,11,1,1,1,Extremities,Extremities
S62.333A,Extremities,-0.371360754,-4.202668814,70,1,Extremities,-0.312130314,-3.867465984,12,1,1,1,Extremities,Extremities
S62.333B,Extremities,-0.788859045,-4.202668814,52,1,Extremities,-0.451797395,-3.867465984,13,1,1,1,Extremities,Extremities
S62.334A,Extremities,-0.195340708,-4.202668814,99,1,Extremities,-0.42385171,-3.867465984,27,1,1,1,Extremities,Extremities
S62.334B,Extremities,-1.043421086,-4.202668814,36,1,Extremities,-0.509500485,-3.867465984,9,1,1,1,Extremities,Extremities
S62.335A,Extremities,-0.129285103,-4.202668814,118,1,Extremities,-0.409790634,-3.867465984,21,1,1,1,Extremities,Extremities
S62.335B,Extremities,-0.588504693,-4.202668814,59,1,Extremities,-0.31634812,-3.867465984,8,1,1,1,Extremities,Extremities
S62.336A,Extremities,0.061481161,-4.202668814,336,1,Extremities,-0.179569116,-3.867465984,90,1,1,1,Extremities,Extremities
S62.336B,Extremities,-0.372206148,-4.202668814,58,1,Extremities,-0.446926149,-3.867465984,16,1,1,1,Extremities,Extremities
S62.337A,Extremities,-0.028762624,-4.202668814,333,1,Extremities,-0.62995722,-3.867465984,84,1,1,1,Extremities,Extremities
S62.337B,Extremities,-0.804697302,-4.202668814,74,1,Extremities,-0.450569581,-3.867465984,19,1,1,1,Extremities,Extremities
S62.338A,Extremities,0.382089544,-4.202668814,90,3,Extremities,-0.450136255,-3.867465984,3,1,3,1,Extremities,Extremities
S62.338B,Extremities,-0.843355835,-4.202668814,24,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S62.339A,Extremities,0.032664197,-4.202668814,70,1,Extremities,-0.441575689,-3.867465984,9,1,1,1,Extremities,Extremities
