icdcm,TQIPbr,TQIPeffect,TQIPint,TQIPn,TQIPais,NISbr,NISeffect,NISint,dxrep,NISais,TQIPais_mod,NISais_mod,TQIPbr_mod,NISbr_mod
S01.401A,Face,0.456947362832061,-4.202668814495247,128,3,Face,1.3662283025357531,-3.8422926291197053,24,5,3,5,Face,Face
S01.402A,Face,0.2892654424522615,-4.202668814495247,121,2,Face,-0.6289234825931974,-3.8422926291197053,31,1,2,1,Face,Face
S01.409A,Face,0.8273621919286493,-4.202668814495247,60,4,Face,-0.9965590340496997,-3.8422926291197053,2,1,4,1,Face,Face
S01.411A,Face,-0.18107881358299674,-4.202668814495247,3870,1,Face,-0.39807927101288954,-3.8422926291197053,461,1,1,1,Face,Face
S01.412A,Face,-0.13964783921257373,-4.202668814495247,4397,1,Face,-0.19627128958242587,-3.8422926291197053,560,1,1,1,Face,Face
S01.419A,Face,-0.12896764305394037,-4.202668814495247,3836,1,Face,-0.4094954437731529,-3.8422926291197053,45,1,1,1,Face,Face
S01.421A,Face,-0.23806400819020324,-4.202668814495247,218,1,Face,-0.18552414365528785,-3.8422926291197053,42,1,1,1,Face,Face
S01.422A,Face,0.10187640258342173,-4.202668814495247,240,1,Face,-0.9148322598204268,-3.8422926291197053,35,1,1,1,Face,Face
S01.429A,Face,1.098014389910762,-4.202668814495247,68,4,Face,-0.33528824228959636,-3.8422926291197053,1,1,4,1,Face,Face
S01.431A,Face,0.030628381989147566,-4.202668814495247,166,1,Face,-0.48629781195116134,-3.8422926291197053,11,1,1,1,Face,Face
S01.432A,Face,-0.03887356006379988,-4.202668814495247,196,1,Face,0.771658250948645,-3.8422926291197053,12,4,1,4,Face,Face
S01.439A,Face,0.13237780522663614,-4.202668814495247,35,1,Face,-0.3638313505597908,-3.8422926291197053,1,1,1,1,Face,Face
S01.441A,Face,-0.17219166896298352,-4.202668814495247,83,1,Face,-1.942098963440362,-3.8422926291197053,8,1,1,1,Face,Face
S01.442A,Face,0.06498680617268175,-4.202668814495247,101,1,Face,2.1354142702274106,-3.8422926291197053,7,5,1,5,Face,Face
S01.449A,Face,-1.4724477460170586,-4.202668814495247,9,1,NA,NA,NA,NA,NA,1,1,Face,Face
S01.451A,Face,-0.4931077402999892,-4.202668814495247,226,1,Face,-0.40003969235946496,-3.8422926291197053,31,1,1,1,Face,Face
S01.452A,Face,-0.30763933452169184,-4.202668814495247,198,1,Face,-0.5143923576734138,-3.8422926291197053,39,1,1,1,Face,Face
S01.459A,Face,1.1932122930910865,-4.202668814495247,19,4,Face,-0.4980287887617608,-3.8422926291197053,2,1,4,1,Face,Face
S01.501A,Face,0.1904925307138897,-4.202668814495247,221,2,Face,-0.8237477694456805,-3.8422926291197053,28,1,2,1,Face,Face
S01.502A,Face,1.0304897756303395,-4.202668814495247,164,4,Face,0.8429179138225878,-3.8422926291197053,29,5,4,5,Face,Face
S01.511A,Face,-0.18498545490640617,-4.202668814495247,20111,1,Face,-0.24430076016839258,-3.8422926291197053,3179,1,1,1,Face,Face
S01.512A,Face,-0.15846887925981518,-4.202668814495247,6846,1,Face,-0.04149644912337629,-3.8422926291197053,1416,2,1,2,Face,Face
S01.521A,Face,-0.3517856580631348,-4.202668814495247,343,1,Face,-0.23860037958598984,-3.8422926291197053,70,1,1,1,Face,Face
S01.522A,Face,-0.026835156348403087,-4.202668814495247,230,1,Face,-0.4750527179129239,-3.8422926291197053,30,1,1,1,Face,Face
S01.531A,Face,-0.2506006650095529,-4.202668814495247,180,1,Face,-0.6967378165989631,-3.8422926291197053,9,1,1,1,Face,Face
S01.532A,Face,0.4987294956346886,-4.202668814495247,152,3,Face,-0.5637707687349923,-3.8422926291197053,15,1,3,1,Face,Face
S01.541A,Face,-0.6183568319464867,-4.202668814495247,25,1,Face,-0.4410724690182941,-3.8422926291197053,5,1,1,1,Face,Face
S01.542A,Face,-0.24389028230811746,-4.202668814495247,75,1,Face,-0.3828967648801654,-3.8422926291197053,8,1,1,1,Face,Face
S01.551A,Face,-0.5533831377812986,-4.202668814495247,337,1,Face,-0.42131789988521373,-3.8422926291197053,45,1,1,1,Face,Face
S01.552A,Face,0.20881933161621435,-4.202668814495247,144,2,Face,0.17075212349433977,-3.8422926291197053,111,3,2,3,Face,Face
S01.80XA,Head/Neck,0.9229034901977898,-4.202668814495247,765,4,Head/Neck,1.4756932969494743,-3.8422926291197053,215,5,4,5,Head/Neck,Head/Neck
S01.81XA,Head/Neck,-0.03858397913181472,-4.202668814495247,48204,1,Head/Neck,-0.044789841433156154,-3.8422926291197053,10617,2,1,2,Head/Neck,Head/Neck
S01.82XA,Head/Neck,-0.1437533483541257,-4.202668814495247,1303,1,Head/Neck,0.33098732025976174,-3.8422926291197053,253,3,1,3,Head/Neck,Head/Neck
S01.83XA,Head/Neck,0.9880880643147415,-4.202668814495247,435,4,Head/Neck,1.1038199938460325,-3.8422926291197053,43,5,4,5,Head/Neck,Head/Neck
S01.84XA,Head/Neck,1.5721007842458794,-4.202668814495247,322,5,Head/Neck,1.9734446608586917,-3.8422926291197053,61,5,5,5,Head/Neck,Head/Neck
S01.85XA,Head/Neck,-0.04565719209923017,-4.202668814495247,272,1,Head/Neck,-0.40806880451520744,-3.8422926291197053,55,1,1,1,Head/Neck,Head/Neck
S01.90XA,Head/Neck,0.8997805906569464,-4.202668814495247,742,4,Head/Neck,2.5237602690668024,-3.8422926291197053,64,5,4,5,Head/Neck,Head/Neck
S01.91XA,Head/Neck,0.05692138314605699,-4.202668814495247,773,1,Head/Neck,-0.06007545698388852,-3.8422926291197053,678,2,1,2,Head/Neck,Head/Neck
S01.92XA,Head/Neck,1.6412832420028938,-4.202668814495247,34,5,Head/Neck,-0.6961841441888753,-3.8422926291197053,5,1,5,1,Head/Neck,Head/Neck
