icdbase,TQIPbr,TQIPeffect,TQIPint,TQIPn,TQIPais,NISbr,NISeffect,NISint,NISn,NISais,TQIPais_mod,NISais_mod,TQIPbr_mod,NISbr_mod
S25.1,Chest,0.7549805737970202,-4.285670466553626,531,3,Chest,1.1487241536049573,-3.8786441179476343,75,5,3,5,Chest,Chest
S25.2,Chest,2.4467258499329874,-4.285670466553626,162,5,Chest,2.8763135265223365,-3.8786441179476343,16,5,5,5,Chest,Chest
S25.3,Chest,1.3010764546098708,-4.285670466553626,249,5,Chest,0.6077860640567233,-3.8786441179476343,36,4,5,4,Chest,Chest
S25.4,Chest,1.9049523384002964,-4.285670466553626,363,5,Chest,0.9332410779635113,-3.8786441179476343,32,5,5,5,Chest,Chest
S25.5,Chest,0.20408560509174675,-4.285670466553626,328,1,Chest,0.9373590155090511,-3.8786441179476343,79,5,1,5,Chest,Chest
S25.8,Chest,0.5670642319041493,-4.285670466553626,475,3,Chest,0.37054430816523,-3.8786441179476343,63,3,3,3,Chest,Chest
S25.9,Chest,1.4364972157949611,-4.285670466553626,61,5,Chest,1.2788534941332788,-3.8786441179476343,8,5,5,5,Chest,Chest
S26.0,Chest,2.2726807958610737,-4.285670466553626,2151,5,Chest,1.506520584633589,-3.8786441179476343,131,5,5,5,Chest,Chest
S26.1,Chest,0.9240638620576961,-4.285670466553626,1812,4,Chest,0.42854160257446344,-3.8786441179476343,166,3,4,3,Chest,Chest
S26.2,Chest,-1.2411335395910057,-4.285670466553626,1,1,NA,NA,NA,NA,NA,1,1,Chest,Chest
S26.9,Chest,1.3388133992323057,-4.285670466553626,1076,5,Chest,0.9151683321480699,-3.8786441179476343,485,5,5,5,Chest,Chest
S27.0,Chest,-0.021415703008143924,-4.285670466553626,58105,1,Chest,0.2304195208082354,-3.8786441179476343,9261,2,1,2,Chest,Chest
S27.1,Chest,1.095757331589813,-4.285670466553626,15340,4,Chest,0.5395725724056122,-3.8786441179476343,2314,4,4,4,Chest,Chest
S27.2,Chest,0.20654220478180504,-4.285670466553626,19046,1,Chest,0.3804877240500234,-3.8786441179476343,4318,3,1,3,Chest,Chest
S27.3,Chest,0.14527665947234986,-4.285670466553626,61623,1,Chest,0.03709298963022592,-3.8786441179476343,10443,2,1,2,Chest,Chest
S27.4,Chest,1.033322941975514,-4.285670466553626,157,4,Chest,1.3249837314900563,-3.8786441179476343,26,5,4,5,Chest,Chest
S27.5,Chest,0.6450396797255448,-4.285670466553626,80,3,Chest,2.4434420505985472,-3.8786441179476343,10,5,3,5,Chest,Chest
S27.6,Chest,0.5419876785805411,-4.285670466553626,698,3,Chest,0.45748950148563566,-3.8786441179476343,134,4,3,4,Chest,Chest
S27.8,Chest,0.3062845020459263,-4.285670466553626,7135,2,Chest,0.2539070171699312,-3.8786441179476343,1252,2,2,2,Chest,Chest
S27.9,Chest,2.1910723588806227,-4.285670466553626,133,5,Chest,0.3163987349193379,-3.8786441179476343,69,3,5,3,Chest,Chest
S28.0,Chest,3.673371911737284,-4.285670466553626,96,5,Chest,0.29592297154185626,-3.8786441179476343,88,2,5,2,Chest,Chest
S28.1,Chest,0.3600824602756139,-4.285670466553626,73,2,NA,NA,NA,NA,NA,2,2,Chest,Chest
S28.2,Chest,-2.979217381025808,-4.285670466553626,6,1,Chest,-1.8026774233094696,-3.8786441179476343,1,1,1,1,Chest,Chest
S29.0,Chest,0.055811522331390494,-4.285670466553626,1337,1,Chest,-0.4015400761538892,-3.8786441179476343,372,1,1,1,Chest,Chest
S29.8,Chest,-0.02903394779664991,-4.285670466553626,6175,1,Chest,0.18359178163182172,-3.8786441179476343,95,2,1,2,Chest,Chest
S29.9,Chest,1.051403268022359,-4.285670466553626,2181,4,Chest,-0.0979332051852447,-3.8786441179476343,352,1,4,1,Chest,Chest
S30.0,Abdomen,0.13355824339099212,-4.285670466553626,8823,1,Abdomen,-0.023305833807956717,-3.8786441179476343,2946,1,1,1,Abdomen,Abdomen
S30.1,Abdomen,0.07067482269526212,-4.285670466553626,24565,1,Abdomen,0.0023190378891134096,-3.8786441179476343,3885,1,1,1,Abdomen,Abdomen
