icdcm,TQIPbr,TQIPeffect,TQIPint,TQIPn,TQIPais,NISbr,NISeffect,NISint,NISn,NISais,TQIPais_mod,NISais_mod,TQIPbr_mod,NISbr_mod
S85.302A,Extremities,-0.630118294058385,-4.202668814495247,6,1,Extremities,-0.6999550727535533,-3.867465984199183,1,1,1,1,Extremities,Extremities
S85.309A,Extremities,-1.0745685433034105,-4.202668814495247,2,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S85.311A,Extremities,-1.1401043010244518,-4.202668814495247,33,1,Extremities,-0.48925551475803325,-3.867465984199183,11,1,1,1,Extremities,Extremities
S85.312A,Extremities,0.3716038915313433,-4.202668814495247,34,3,Extremities,0.9344896621319944,-3.867465984199183,14,5,3,5,Extremities,Extremities
S85.319A,Extremities,-0.7420236255871163,-4.202668814495247,4,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S85.391A,Extremities,-0.6274043427215562,-4.202668814495247,3,1,Extremities,-0.5756314992950318,-3.867465984199183,3,1,1,1,Extremities,Extremities
S85.392A,Extremities,-0.5283026957828821,-4.202668814495247,6,1,Extremities,-0.531849764282384,-3.867465984199183,1,1,1,1,Extremities,Extremities
S85.401A,Extremities,-0.5189481094561536,-4.202668814495247,3,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S85.402A,Extremities,-0.4161146848718083,-4.202668814495247,6,1,Extremities,-1.1535806061999854,-3.867465984199183,3,1,1,1,Extremities,Extremities
S85.409A,Extremities,-3.8107024862441663,-4.202668814495247,3,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S85.411A,Extremities,-0.7360720332713482,-4.202668814495247,29,1,Extremities,-0.40530518670040966,-3.867465984199183,1,1,1,1,Extremities,Extremities
S85.412A,Extremities,-0.7950687708260562,-4.202668814495247,34,1,Extremities,-0.5411433219465562,-3.867465984199183,8,1,1,1,Extremities,Extremities
S85.419A,Extremities,-0.9034968247148584,-4.202668814495247,13,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S85.491A,Extremities,-0.6304248279608821,-4.202668814495247,1,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S85.492A,Extremities,-0.47781140486088547,-4.202668814495247,3,1,Extremities,-0.47495967414442136,-3.867465984199183,1,1,1,1,Extremities,Extremities
S85.501A,Extremities,-0.5815579345559113,-4.202668814495247,8,1,Extremities,-0.8006323176409182,-3.867465984199183,2,1,1,1,Extremities,Extremities
S85.502A,Extremities,-0.7472658011459156,-4.202668814495247,12,1,Extremities,-0.3740130383295771,-3.867465984199183,2,1,1,1,Extremities,Extremities
S85.509A,Extremities,-4.056423416174418,-4.202668814495247,9,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S85.511A,Extremities,0.19854019570111658,-4.202668814495247,89,2,Extremities,-0.647611610646422,-3.867465984199183,16,1,2,1,Extremities,Extremities
S85.512A,Extremities,0.14814856599417278,-4.202668814495247,116,1,Extremities,-0.7251448601750442,-3.867465984199183,23,1,1,1,Extremities,Extremities
S85.519A,Extremities,-0.997432009207474,-4.202668814495247,25,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S85.591A,Extremities,-0.48325512350051797,-4.202668814495247,16,1,Extremities,-0.5130155187052928,-3.867465984199183,1,1,1,1,Extremities,Extremities
S85.592A,Extremities,0.8754744842483304,-4.202668814495247,15,4,Extremities,-0.480528921871055,-3.867465984199183,10,1,4,1,Extremities,Extremities
S85.801A,Extremities,2.7073131826370522,-4.202668814495247,7,5,Extremities,-0.6244212221117408,-3.867465984199183,1,1,5,1,Extremities,Extremities
S85.802A,Extremities,-0.6211884829496124,-4.202668814495247,8,1,Extremities,2.1251554785171716,-3.867465984199183,5,5,1,5,Extremities,Extremities
S85.809A,Extremities,-0.8164091364425559,-4.202668814495247,2,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S85.811A,Extremities,0.04211132839046391,-4.202668814495247,54,1,Extremities,-0.6289679453067091,-3.867465984199183,15,1,1,1,Extremities,Extremities
S85.812A,Extremities,-0.11988520369977329,-4.202668814495247,63,1,Extremities,1.3471411457060183,-3.867465984199183,11,5,1,5,Extremities,Extremities
S85.819A,Extremities,-0.6598485752943115,-4.202668814495247,7,1,Extremities,-0.35990170266313026,-3.867465984199183,1,1,1,1,Extremities,Extremities
S85.891A,Extremities,-0.9976582857145175,-4.202668814495247,20,1,Extremities,-0.3940992301757152,-3.867465984199183,3,1,1,1,Extremities,Extremities
S85.892A,Extremities,0.26626374977095757,-4.202668814495247,20,2,Extremities,0.3860627921036467,-3.867465984199183,9,3,2,3,Extremities,Extremities
S85.899A,Extremities,-0.729030531477156,-4.202668814495247,4,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S85.901A,Extremities,1.518908140077928,-4.202668814495247,15,5,Extremities,1.848702597621037,-3.867465984199183,5,5,5,5,Extremities,Extremities
S85.902A,Extremities,-1.1721205059690611,-4.202668814495247,17,1,Extremities,-0.8587125051357132,-3.867465984199183,5,1,1,1,Extremities,Extremities
S85.909A,Extremities,0.2107906353632799,-4.202668814495247,45,2,NA,NA,NA,NA,NA,2,2,Extremities,Extremities
S85.911A,Extremities,0.10218996753590893,-4.202668814495247,39,1,Extremities,-0.25305387328558016,-3.867465984199183,3,1,1,1,Extremities,Extremities
S85.912A,Extremities,0.7899856854588355,-4.202668814495247,45,4,Extremities,-0.5027373276236835,-3.867465984199183,3,1,4,1,Extremities,Extremities
S85.919A,Extremities,0.7759056431288228,-4.202668814495247,112,4,NA,NA,NA,NA,NA,4,4,Extremities,Extremities
S85.991A,Extremities,-0.8354278412272692,-4.202668814495247,5,1,Extremities,-0.5156353175205411,-3.867465984199183,3,1,1,1,Extremities,Extremities
S85.992A,Extremities,-1.3088513611807027,-4.202668814495247,9,1,Extremities,-0.6225109091812057,-3.867465984199183,2,1,1,1,Extremities,Extremities
S85.999A,Extremities,0.03363939229812048,-4.202668814495247,26,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S86.001A,Extremities,-0.7322956787971985,-4.202668814495247,15,1,Extremities,-0.6445085055890092,-3.867465984199183,3,1,1,1,Extremities,Extremities
S86.002A,Extremities,-0.3800124194597112,-4.202668814495247,3,1,Extremities,-0.5081290647185707,-3.867465984199183,3,1,1,1,Extremities,Extremities
S86.009A,Extremities,-0.13057699036146445,-4.202668814495247,1,1,NA,NA,NA,NA,NA,1,1,Extremities,Extremities
S86.011A,Extremities,-0.012050959582711558,-4.202668814495247,36,1,Extremities,-0.06089926414640938,-3.867465984199183,59,2,1,2,Extremities,Extremities
S86.012A,Extremities,0.31588632725113597,-4.202668814495247,41,2,Extremities,-0.5370913130728188,-3.867465984199183,64,1,2,1,Extremities,Extremities
